datum,tijd,thuis,uit
19 jan, 11.00,V.V. Bergen VR2 (zon),Limmen VR2 (zon)
26 jan, 14.00,Limmen VR2 (zon),Zeevogels VR2 (zon)
2 feb, 14.00,Limmen VR2 (zon),WMC VR1 (zon)
9 feb, 11.00,Dirkshorn VR1 (zon),Limmen VR2 (zon)
8 mrt, 12.30,Victoria O VR1 (zon),Limmen VR2 (zon)
15 mrt, 14.00,Limmen VR2 (zon),ST Kleine Sluis/ZAP VR1 (zon)
29 mrt, 11.30,KGB VR1 (zon),Limmen VR2 (zon)
5 apr, 14.00,Limmen VR2 (zon),Kolping Boys VR2 (zon)
10 mei, 12.30,RKEDO VR3 (zon),Limmen VR2 (zon)
17 mei, 14.00,Limmen VR2 (zon),HSV VR2 (zon)
